date,ticker,d2c,shorts,volume
2021-02-12,CTRM,1.0,31024928,267591053
2021-02-26,CTRM,1.0,17840376,124796987
2021-03-15,CTRM,1.0,8350594,83157012
2021-03-31,CTRM,1.0,12175355,45110027
2021-04-15,CTRM,1.0,17493445,147516933
2021-04-30,CTRM,1.0,33788657,99597043
2021-05-14,CTRM,1.0,34237109,67036177
2021-05-28,CTRM,1.0,4031630,9068492
2021-06-15,CTRM,1.0,3236577,8822281
2021-06-30,CTRM,1.0,4417268,5428339
2021-07-15,CTRM,1.4,4627205,3305493
2021-07-30,CTRM,2.05,4399012,2140768
2021-08-13,CTRM,1.0,4311846,7081369
2021-08-31,CTRM,1.23,3648022,2962001
2021-09-15,CTRM,1.0,3642799,5161183
2021-09-30,CTRM,1.0,3678920,5078149
2021-10-15,CTRM,1.64,4389280,2674352
2021-10-29,CTRM,1.45,3744601,2591278
2021-11-15,CTRM,1.0,2507193,2689536
2021-11-30,CTRM,1.01,2345101,2328368
2021-12-15,CTRM,1.57,2983797,1899579
2021-12-31,CTRM,1.23,2107012,1719350
2022-01-14,CTRM,1.51,1791817,1184144
2022-01-31,CTRM,1.05,1801860,1719288
2022-02-15,CTRM,1.0,2526282,4896384
2022-02-28,CTRM,1.0,1513533,1876964
2022-03-15,CTRM,1.08,2401401,2215302
2022-03-31,CTRM,1.09,1599200,1468590
2022-04-14,CTRM,1.0,2611266,4152111
2022-04-29,CTRM,1.0,2072842,2473995
2022-05-13,CTRM,1.17,1975562,1691057
2022-05-31,CTRM,1.45,1778786,1227425
2022-06-15,CTRM,1.39,1733607,1246654
2022-06-30,CTRM,1.92,1600727,832514
2022-07-15,CTRM,2.34,1409934,602274
2022-07-29,CTRM,3.13,2231896,713049
2022-08-15,CTRM,2.66,1863801,701398
2022-08-31,CTRM,1.45,1163192,801366
2022-09-15,CTRM,2.6,1573924,606274
2022-09-30,CTRM,2.34,1140012,487179
2022-10-14,CTRM,2.83,1915499,677229
2022-10-31,CTRM,4.8,1699936,354488
2022-11-15,CTRM,2.29,999039,436373
2022-11-30,CTRM,1.29,1221573,950315
2022-12-15,CTRM,1.43,1258689,882709
2022-12-30,CTRM,3.26,1937086,593383
2023-01-13,CTRM,2.59,1206513,466315
2023-01-31,CTRM,3.61,1110120,307897
2023-02-15,CTRM,1.92,1118303,581205
2023-02-28,CTRM,3.19,1163821,364278
2023-03-15,CTRM,1.0,2386853,5612023
2023-03-31,CTRM,3.38,2135358,632141
2023-04-14,CTRM,3.89,1835406,471794
2023-04-28,CTRM,2.57,1485281,578929
2023-05-15,CTRM,5.25,1629779,310374
2023-05-31,CTRM,2.33,1517707,652768
2023-06-15,CTRM,1.58,1056423,667250
2023-06-30,CTRM,1.93,1071275,556134
2023-07-14,CTRM,3.37,1266293,376059
2023-07-31,CTRM,3.68,1308271,355103
2023-08-15,CTRM,1.99,1309883,658139
2023-08-31,CTRM,3.27,966609,295895
2023-09-15,CTRM,2.98,946958,318067
2023-09-29,CTRM,1.63,773580,475491
2023-10-13,CTRM,2.47,1075591,435540
2023-10-31,CTRM,2.85,1164665,408235
2023-11-15,CTRM,2.19,875175,399976
2023-11-30,CTRM,1.86,893915,480622
2023-12-15,CTRM,1.39,1058313,762408
2023-12-29,CTRM,1.1,741571,672528
2024-01-12,CTRM,1.0,709102,2165222
2024-01-31,CTRM,1.86,875380,471321
2024-02-15,CTRM,1.47,533653,361799
2024-02-29,CTRM,1.0,499840,530907
2024-03-15,CTRM,1.38,516973,373921
2024-03-28,CTRM,1.0,52832,90759
2024-04-15,CTRM,1.0,62733,69654
2024-04-30,CTRM,1.11,72574,65282
2024-05-15,CTRM,1.0,54659,67250
2024-05-31,CTRM,1.0,76246,114713
2024-06-14,CTRM,1.58,71115,44918
2024-06-28,CTRM,1.0,47391,74020
2024-07-15,CTRM,1.29,57018,44212
2024-07-31,CTRM,1.63,74164,45602
2024-08-15,CTRM,1.14,51037,44708
2024-08-30,CTRM,1.0,35643,35783
2024-09-13,CTRM,1.0,24980,49882
2024-09-30,CTRM,1.0,13364,58823
2024-10-15,CTRM,1.0,26781,49270
2024-10-31,CTRM,1.0,39311,42729
2024-11-15,CTRM,1.0,75464,82509
2024-11-29,CTRM,2.08,89556,43012
2024-12-13,CTRM,1.08,70152,65184
2024-12-31,CTRM,1.0,19971,77438
2025-01-15,CTRM,1.0,39816,58902
2025-01-31,CTRM,1.58,46569,29432
2025-02-14,CTRM,1.89,58898,31113
2025-02-28,CTRM,1.0,34309,54381
2025-03-14,CTRM,1.11,63301,57145
2025-03-31,CTRM,1.0,69244,85787
2025-04-15,CTRM,1.78,102757,57636
2025-04-30,CTRM,3.78,84727,22394
2025-05-15,CTRM,1.0,59235,60685
2025-05-30,CTRM,1.15,64005,55680
2025-06-13,CTRM,1.0,45551,62807
2025-06-30,CTRM,1.0,54808,92327
2025-07-15,CTRM,1.1,41384,37468
2025-07-31,CTRM,1.52,50006,32858
2025-08-15,CTRM,1.94,55909,28841
2025-08-29,CTRM,1.31,36686,28019
2025-09-15,CTRM,1.0,38215,49007
2017-12-29,EXPR,4.74,10168225,2146595
2018-01-12,EXPR,2.33,13781940,5925157
2018-01-31,EXPR,7.63,14192488,1859064
2018-02-15,EXPR,6.31,13117554,2077657
2018-02-28,EXPR,9.0,13025083,1446631
2018-03-15,EXPR,4.24,12926272,3049162
2018-05-15,EXPR,8.21,14456960,1761764
2018-06-15,EXPR,5.09,14041550,2759604
2018-06-29,EXPR,7.04,13849658,1968656
2018-07-13,EXPR,9.47,14399249,1521202
2018-07-31,EXPR,10.48,14293239,1363602
2018-08-15,EXPR,12.23,13199554,1079587
2018-08-31,EXPR,5.16,15946622,3090709
2018-09-14,EXPR,7.02,15550935,2216269
2018-09-28,EXPR,9.31,17369127,1865461
2018-10-15,EXPR,7.32,16484405,2252907
2018-10-31,EXPR,7.78,18273337,2350232
2018-11-15,EXPR,10.11,18474910,1828148
2018-11-30,EXPR,4.37,18524419,4241533
2018-12-14,EXPR,6.84,18526042,2710061
2018-12-31,EXPR,8.66,19328948,2232026
2019-01-15,EXPR,7.18,16891582,2354144
2019-01-31,EXPR,7.65,14792010,1933297
2019-02-15,EXPR,11.89,14927577,1255367
2019-02-28,EXPR,13.47,16282852,1208425
2019-03-15,EXPR,4.8,14235568,2964941
2019-03-29,EXPR,6.4,13402320,2095505
2019-04-15,EXPR,9.29,14500117,1560794
2019-04-30,EXPR,8.68,15214871,1752529
2019-05-15,EXPR,10.82,14991356,1385743
2019-05-31,EXPR,5.94,16274954,2738897
2019-06-14,EXPR,6.81,15781146,2316725
2019-06-28,EXPR,5.52,12742492,2309293
2019-07-15,EXPR,8.31,13684498,1646868
2019-07-31,EXPR,10.3,13185314,1280689
2019-08-15,EXPR,11.15,12416703,1113485
2019-08-30,EXPR,8.16,12680011,1553175
2019-09-13,EXPR,7.47,12393651,1658954
2019-09-30,EXPR,6.23,12507411,2006864
2019-10-15,EXPR,9.61,12740779,1326227
2019-10-31,EXPR,9.75,12551338,1287810
2019-11-15,EXPR,7.58,11611281,1532825
2019-11-29,EXPR,8.04,12302018,1529899
2019-12-13,EXPR,4.04,11420220,2823934
2019-12-31,EXPR,8.32,12218665,1469121
2020-01-15,EXPR,8.79,13104208,1490316
2020-01-31,EXPR,5.94,13106425,2207849
2020-02-14,EXPR,10.72,13871773,1294124
2020-02-28,EXPR,12.18,14533467,1192920
2020-03-13,EXPR,7.85,15041892,1915929
2020-03-31,EXPR,10.63,14835285,1396256
2020-04-15,EXPR,8.17,13595885,1663534
2020-04-30,EXPR,11.07,13138060,1187059
2020-05-15,EXPR,12.94,13907112,1074695
2020-05-29,EXPR,9.97,12683875,1272180
2020-06-15,EXPR,5.55,12026974,2165516
2020-06-30,EXPR,8.06,13611594,1689385
2020-07-15,EXPR,7.13,14136408,1983048
2020-07-31,EXPR,7.52,14608515,1943358
2020-08-14,EXPR,8.87,14968557,1687432
2020-08-31,EXPR,7.58,14395222,1899797
2020-09-15,EXPR,6.68,14627301,2188932
2020-09-30,EXPR,2.11,11477272,5438159
